origin,destination,url,transport_type
Hồ Chí Minh,Vũng Tàu,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-vung-tau-ba-ria-vung-tau-129t2131.html,bus
Hồ Chí Minh,Bà Rịa,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-ba-ria-ba-ria-vung-tau-129t2132.html,bus
Hồ Chí Minh,Biên Hòa,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-bien-hoa-dong-nai-129t751.html,bus
Hồ Chí Minh,Đồng Nai,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-dong-nai-129t75.html,bus
Hồ Chí Minh,Long Khánh,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-long-khanh-dong-nai-129t752.html,bus
Hồ Chí Minh,Bình Dương,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-binh-duong-129t74.html,bus
Hồ Chí Minh,Thủ Dầu Một,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-thu-dau-mot-binh-duong-129t741.html,bus
Hồ Chí Minh,Tây Ninh,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-tay-ninh-129t70.html,bus
Hồ Chí Minh,Bình Phước,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-binh-phuoc-129t70.html,bus
Hồ Chí Minh,Long An,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-long-an-129t80.html,bus
Hồ Chí Minh,Tân An,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-tan-an-long-an-129t801.html,bus
Hồ Chí Minh,Tiền Giang,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-tien-giang-129t82.html,bus
Hồ Chí Minh,Mỹ Tho,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-my-tho-tien-giang-129t821.html,bus
Hồ Chí Minh,Bến Tre,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-ben-tre-129t83.html,bus
Hồ Chí Minh,Trà Vinh,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-tra-vinh-129t84.html,bus
Hồ Chí Minh,Vĩnh Long,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-vinh-long-129t86.html,bus
Hồ Chí Minh,Đồng Tháp,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-dong-thap-129t87.html,bus
Hồ Chí Minh,Cao Lãnh,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-cao-lanh-dong-thap-129t871.html,bus
Hồ Chí Minh,Sa Đéc,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-sa-dec-dong-thap-129t872.html,bus
Hồ Chí Minh,An Giang,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-an-giang-129t89.html,bus
Hồ Chí Minh,Long Xuyên,https://vexere.com/vi-VN/ve-xe-khach-tu-sai-gon-di-long-xuyen-an-giang-129t891.html,bus
