,Tên địa điểm,Điểm đánh giá,Số lượng đánh giá
0,"Things to doJesus Christ Statue4.34.3 of 5 bubbles(886 reviews)Vung Tau, Vietnam187 mentions ofvũng tàu""…If you're vacationing inVungTau, it's a must-see.…""",4.3,(886 reviews)
1,"Things to doVung Tau Lighthouse4.14.1 of 5 bubbles(251 reviews)Vung Tau, Vietnam72 mentions ofvũng tàu""…Recommended for visitors toVungTau.…""",4.1,(251 reviews)
2,"Things to doVung Tau Essential: Beach, Christ Statue & Colonial Heritage4.94.9 of 5 bubbles(469 reviews)Ho Chi Minh City, Vietnam128 mentions ofvũng tàu""…Went on a tour aroundVungTaucity with our tour guide HaHa.…""",4.9,(469 reviews)
3,"Things to doVung Tau Ferry Terminal3.73.7 of 5 bubbles(198 reviews)Vung Tau, Vietnam60 mentions ofvũng tàu""…Tau.…""",3.7,(198 reviews)
4,"Things to doBest Tour In Vung Tau4.84.8 of 5 bubbles(116 reviews)Vung Tau, Vietnam55 mentions ofvũng tàu""…‘Best Tours inVungTau’– run by him and his wife, Sen - is loftily named…""",4.8,(116 reviews)
5,"Things to doBãi Biển Vũng Tàu3.93.9 of 5 bubbles(166 reviews)Vung Tau, Vietnam51 mentions ofvũng tàu""…Vungtaubeach 
The beach is a good place for relaxing after a hard time…""",3.9,(166 reviews)
6,"Things to doThe Robert Taylor Museum Of Worldwide Arms4.84.8 of 5 bubbles(247 reviews)Vung Tau, Vietnam87 mentions ofvũng tàu""…I am a regular visitor toVungTauand i frequently visit this museum every…""",4.8,(247 reviews)
7,"Things to doPrincess Spa Vung Tau4.74.7 of 5 bubbles(71 reviews)Vung Tau, Vietnam9 mentions ofvũng tàu""…I been to many spa inVũngTàubut never feel good like Princess Spa ,…""",4.7,(71 reviews)
8,"Things to doThe Whale Temple Vung Tau3.43.4 of 5 bubbles(73 reviews)Vung Tau, Vietnam9 mentions ofvũng tàu""…Tau and Ba Ria tour, during a port visit from a cruise ship.…""",3.4,(73 reviews)
9,"Things to doGreenlinesDP Fast Ferry4.24.2 of 5 bubbles(180 reviews)Vung Tau, Vietnam104 mentions ofvũng tàu""…Traveling from HCMC toVungTauis the best way to go.…""",4.2,(180 reviews)
10,"Things to doVung Tau Hash House Harriers4.94.9 of 5 bubbles(28 reviews)Vung Tau, Vietnam17 mentions ofvũng tàu""…If you visitVungTaua must to do is the Hash walk.…""",4.9,(28 reviews)
11,"Things to doQuyen Cat Spa 1 - Massage Vung Tau5.05 of 5 bubbles(38 reviews)Vung Tau, Vietnam21 mentions ofvũng tàu""…If you're inVungTau, treat yourself to this experience.…""",5.0,(38 reviews)
12,"Things to doVung Tau Veterans & Friends Children’s Fund4.94.9 of 5 bubbles(44 reviews)Vung Tau, Vietnam18 mentions ofvũng tàu""…We booked our tour by visiting Bellys Waterhole inVungTau.…""",4.9,(44 reviews)
13,"Things to doQuyen Cat Spa 2 - Massage Vung Tau5.05 of 5 bubbles(15 reviews)Vung Tau, Vietnam26 mentions ofvũng tàu""…I had a really relaxing experience at Quyen Cat Spa 2 inVungTau.…""",5.0,(15 reviews)
14,"Things to doVung Tau Beach3.83.8 of 5 bubbles(46 reviews)Vung Tau, Vietnam9 mentions ofvũng tàu""…Just back from a fantastic weekend inVungTau, and I’m still riding the…""",3.8,(46 reviews)
15,"Things to doSol Spa - Mercure Hotel Vung Tau5.05 of 5 bubbles(143 reviews)Vung Tau, Vietnam13 mentions ofvũng tàu""…Will come back again next time I am back invungtàu…""",5.0,(143 reviews)
16,"Things to doLOTTE Mart Vũng Tàu4.04 of 5 bubbles(64 reviews)Vung Tau, Vietnam10 mentions ofvũng tàu""…I am enjoying my stay inVungTau, but being a westerner with fussy tastes…""",4.0,(64 reviews)
17,"Things to doLola Spa Vung Tau5.05 of 5 bubbles(23 reviews)Vung Tau, Vietnam2 mentions ofvũng tàu""…Tau then come to this spa when you are tired…""",5.0,(23 reviews)
18,"Things to doHo May Park3.83.8 of 5 bubbles(232 reviews)Vung Tau, Vietnam41 mentions ofvũng tàu""…a great place to spend half a day or even a full day inVungTau.…""",3.8,(232 reviews)
19,"Things to doVung Tau Market3.33.3 of 5 bubbles(13 reviews)Vung Tau, Vietnam3 mentions ofvũng tàu""…This is the main market ofVungTau, it starts very early in the morning…""",3.3,(13 reviews)
20,"Things to doNhut Tailor Pullman Vung Tau4.94.9 of 5 bubbles(16 reviews)Vung Tau, Vietnam4 mentions ofvũng tàu""…Tau solved that.…""",4.9,(16 reviews)
21,"Things to doLong Tan, Nui Dat & Vung Tau Highlights - 1 day Private Tour5.05 of 5 bubbles(98 reviews)Ho Chi Minh City, Vietnam24 mentions ofvũng tàu""…Hung was an outstanding tour guide on our one-day Long Tan andVungTau…""",5.0,(98 reviews)
22,"Things to doFront Beach3.93.9 of 5 bubbles(181 reviews)Vung Tau, Vietnam34 mentions ofvũng tàu""…It’s no the nicest beach inVungTaubut if you coming by ferry and don…""",3.9,(181 reviews)
23,"Things to doSkip the Line: Ho May Park Package Ticket in Vung Tau3.73.7 of 5 bubbles(10 reviews)Vung Tau, Vietnam3 mentions ofvũng tàu""…Has great views ofVungTau…""",3.7,(10 reviews)
24,"Things to doThe Vung Tau War Heroes Shrine4.34.3 of 5 bubbles(11 reviews)Vung Tau, Vietnam3 mentions ofvũng tàu""…A friend and I visited here while staying at the nearby PullmanVungTau.…""",4.3,(11 reviews)
25,"Things to doBack Beach3.83.8 of 5 bubbles(139 reviews)Vung Tau, Vietnam21 mentions ofvũng tàu""…One of my favorite places inVungTau.…""",3.8,(139 reviews)
26,"Things to doVung Tau Beach Break One Day Private Tour5.05 of 5 bubbles(15 reviews)Ho Chi Minh City, Vietnam8 mentions ofvũng tàu""…Hoang was an excellent guide for ourVungTautrip.…""",5.0,(15 reviews)
27,"Things to doHo Tram Tour5.05 of 5 bubbles(65 reviews)Ho Tram, Vietnam10 mentions ofvũng tàu""…We did a private tour toVungTauCity.…""",5.0,(65 reviews)
28,"Things to doVung Tau Church4.04 of 5 bubbles(5 reviews)Vung Tau, Vietnam2 mentions ofvũng tàu""…This church is the oldest inVungTauand the most elegant in its simplicity…""",4.0,(5 reviews)
